build,defect_category,test_case,test_approach,test_tool,runtime(seconds),costs(USD),revision,build_start,build_duration(hh:mm:ss)
120,NA,NA,5,terraform apply,940,NA,cd70611,20231104130732,01:22:43
120,3,9,5,terraform test,4,0.04431,cd70611,20231104130732,01:22:43
120,1,4,5,terraform test,3,0.04426,cd70611,20231104130732,01:22:43
120,2,7,5,terraform test,4,0.04431,cd70611,20231104130732,01:22:43
120,NA,NA,5,terraform destroy,624,NA,cd70611,20231104130732,01:22:43
120,1,3,5,terraform test,1704,0.18392,cd70611,20231104130732,01:22:43
120,5,11,5,terratest,1517,0.17384,cd70611,20231104130732,01:22:43
121,8,NA,1,terraform fmt,0,NA,cd70611,20231104143410,01:23:13
121,8,NA,2,terraform validate,3,NA,cd70611,20231104143410,01:23:13
121,6,NA,3,tfsec,8,NA,cd70611,20231104143410,01:23:13
121,2,6,4,pytest,7,NA,cd70611,20231104143410,01:23:13
121,6,13,4,pytest,6,NA,cd70611,20231104143410,01:23:13
121,3,8,4,pytest,6,NA,cd70611,20231104143410,01:23:13
121,4,10,4,pytest,7,NA,cd70611,20231104143410,01:23:13
121,2,5,4,terraform test,2,NA,cd70611,20231104143410,01:23:13
121,1,1,4,terraform test,6,NA,cd70611,20231104143410,01:23:13
121,1,2,4,terraform test,3,NA,cd70611,20231104143410,01:23:13
121,NA,NA,5,terraform apply,900,NA,cd70611,20231104143410,01:23:13
121,3,9,5,terraform test,4,0.04415,cd70611,20231104143410,01:23:13
121,1,4,5,terraform test,4,0.04415,cd70611,20231104143410,01:23:13
121,2,7,5,terraform test,3,0.04409,cd70611,20231104143410,01:23:13
121,NA,NA,5,terraform destroy,653,NA,cd70611,20231104143410,01:23:13
121,1,3,5,terraform test,1662,0.18166,cd70611,20231104143410,01:23:13
121,5,11,5,terratest,1599,0.17826,cd70611,20231104143410,01:23:13
124,8,NA,1,terraform fmt,0,NA,7c40d2f,20231104160739,00:01:39
124,8,NA,2,terraform validate,3,NA,7c40d2f,20231104160739,00:01:39
124,6,NA,3,tfsec,8,NA,7c40d2f,20231104160739,00:01:39
124,2,6,4,pytest,7,NA,7c40d2f,20231104160739,00:01:39
124,4,10,4,pytest,6,NA,7c40d2f,20231104160739,00:01:39
124,6,13,4,pytest,7,NA,7c40d2f,20231104160739,00:01:39
124,3,8,4,pytest,6,NA,7c40d2f,20231104160739,00:01:39
124,1,2,4,terraform test,3,NA,7c40d2f,20231104160739,00:01:39
