build,test_level,#tc,runtime(millis),revision,build_start,build_duration(hh:mm:ss)
77,6,NA,3,tfsec,8,339e6b4,20231028102826,00:01:14
77,2,6,4,pytest pytest/test_dc2_tc2_ta4.py,6,339e6b4,20231028102826,00:01:14
77,6,13,4,pytest pytest/test_dc6_tc1_ta4.py,6,339e6b4,20231028102826,00:01:14
77,3,8,4,pytest pytest/test_dc3_tc1_ta4.py,6,339e6b4,20231028102826,00:01:14
77,1,1,4,terraform test,6,339e6b4,20231028102826,00:01:14
77,1,2,4,terraform test,4,339e6b4,20231028102826,00:01:14
81,8,NA,1,terraform fmt,0,ee6ef37,20231028115559,00:01:13
81,8,NA,2,terraform validate,3,ee6ef37,20231028115559,00:01:13
81,6,NA,3,tfsec,7,ee6ef37,20231028115559,00:01:13
81,2,6,4,pytest pytest/test_dc2_tc2_ta4.py,6,ee6ef37,20231028115559,00:01:13
81,6,13,4,pytest pytest/test_dc6_tc1_ta4.py,6,ee6ef37,20231028115559,00:01:13
81,3,8,4,pytest pytest/test_dc3_tc1_ta4.py,6,ee6ef37,20231028115559,00:01:13
81,4,10,4,pytest pytest/test_dc4_tc1_ta4.py,6,ee6ef37,20231028115559,00:01:13
81,2,5,4,terraform test,2,ee6ef37,20231028115559,00:01:13
81,1,1,4,terraform test,6,ee6ef37,20231028115559,00:01:13
81,1,2,4,terraform test,3,ee6ef37,20231028115559,00:01:13
